strategy,sizing,entry_minute,remaining_minutes,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 20:10:00+00:00,btc-updown-5m-1777234200,buy_down,4.436945128422442,9.243635684213421,0.48,4.714254198948845,22.462034712638612
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 20:35:01+00:00,btc-updown-5m-1777235700,buy_down,5.615508678159653,7.692477641314594,0.73,2.0000441867417944,24.46207889938041
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 20:55:02+00:00,btc-updown-5m-1777236900,buy_down,1.2663,1.89,0.67,0.6047999999999999,25.06687889938041
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 21:30:01+00:00,btc-updown-5m-1777239000,buy_down,6.266719724845102,6.460535798809384,0.97,0.12921071597618783,25.1960896153566
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 21:35:01+00:00,btc-updown-5m-1777239300,buy_down,1.6167,3.17,0.51,1.5215999999999998,26.717689615356598
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 21:40:01+00:00,btc-updown-5m-1777239600,buy_down,6.679422403839149,9.680322324404566,0.69,2.90409669732137,29.62178631267797
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 21:45:02+00:00,btc-updown-5m-1777239900,buy_down,7.405446578169492,9.256808222711864,0.8,1.7587935623152537,31.380579874993224
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 21:50:02+00:00,btc-updown-5m-1777240200,buy_down,7.845144968748306,11.709171595146724,0.67,-7.962236684699773,23.41834319029345
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 22:20:02+00:00,btc-updown-5m-1777242000,buy_down,5.854585797573362,9.923026775548072,0.59,3.969210710219229,27.38755390051268
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 22:50:01+00:00,btc-updown-5m-1777243800,buy_down,6.84688847512817,8.892062954711909,0.77,1.9562538500366198,29.3438077505493
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 22:55:00+00:00,btc-updown-5m-1777244100,buy_down,7.335951937637325,12.226586562728874,0.6,4.768368759464261,34.11217651001356
